
DESKTOP-HKV0F46

"Nombre del ordenador:","DESKTOP-HKV0F46"
"ID de hardware:","PCI\VEN_1022&DEV_15EC&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_15EC&SUBSYS_00000000&REV_00\3&11583659&0&C4"
"Location Paths","PCIROOT(0)#PCI(1804)"

AMD Raven - Data Fabric: Function 5

"Nombre del dispositivo:","AMD Raven - Data Fabric: Function 5"
"Nombre del dispositivo original:","AMD Raven - Data Fabric: Function 5"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_15ED&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_15ED&SUBSYS_00000000&REV_00\3&11583659&0&C5"
"Location Paths","PCIROOT(0)#PCI(1805)"

AMD Raven - Data Fabric: Function 6

"Nombre del dispositivo:","AMD Raven - Data Fabric: Function 6"
"Nombre del dispositivo original:","AMD Raven - Data Fabric: Function 6"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:6"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_15EE&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_15EE&SUBSYS_00000000&REV_00\3&11583659&0&C6"
"Location Paths","PCIROOT(0)#PCI(1806)"

AMD Raven - Data Fabric: Function 7

"Nombre del dispositivo:","AMD Raven - Data Fabric: Function 7"
"Nombre del dispositivo original:","AMD Raven - Data Fabric: Function 7"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:7"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_15EF&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_15EF&SUBSYS_00000000&REV_00\3&11583659&0&C7"
"Location Paths","PCIROOT(0)#PCI(1807)"

Adaptador gráfico


AMD Radeon Vega

"Chipset de gráficos:","AMD Radeon Vega"
"Nombre en clave del chipset de gráficos:","Picasso"
"Memoria gráfica:","2048 MBytes de DDR4 SDRAM"
"Tarjeta grafica:","AMD Picasso [Lenovo]"
"Bus de tarjeta gráfica:","PCIe v3.0 x16 (8.0 GT/s) @ x16 (8.0 GT/s)"
"Gráficos RAMDAC:","Internal DAC(400MHz)"
"Versión de BIOS de gráficos:","016.002.000.010"
"Frecuencia del procesador de gráficos:","200.0 MHz"
"Frecuencia de memoria gráfica:","1200.0 MHz (Eficaz 2400.0 MHz)"
"Ancho del bus de memoria gráfica:","128-bit"
"Número de ROP:","8"
"Número de sombreadores unificados:","704"
"Número de TMU (unidades de mapeo de texturas):","44"
"Versión de firmware SMU:","4.30.59"
"Soporte de barra redimensionable (ReBAR):","Soportado"
"Estado de BAR (ReBAR) de tamaño variable:","Deshabilitado (256 MB)"
"ID de hardware:","PCI\VEN_1002&DEV_15D8&SUBSYS_315117AA&REV_DA"
"Ubicación PCI (Bus:Dispositivo:Función):","3:00:0"
"Fabricante del controlador:","Advanced Micro Devices, Inc."
"Descripción del controlador:","AMD Radeon(TM) Vega 11 Graphics"
"Proveedor de controladores:","Advanced Micro Devices, Inc."
"Versión del controlador:","31.0.12027.7000"
"Versión del paquete del controlador AMD:","22.20.27.07-221020a-384804C"
"AMD Software Driver Version:","22.20.27.07"
"Fecha del controlador del dispositivo:","19-Oct-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_1002&DEV_15D8&SUBSYS_315117AA&REV_DA\4&28056CF2&0&0041"
"Location Paths","PCIROOT(0)#PCI(0801)#PCI(0000)"

Monitor


Lenovo [Unknown Model: LEN61FE]

"Nombre del monitor:","Lenovo [Unknown Model: LEN61FE]"
"Nombre del monitor (del fabricante):","T22i-20      "
"Número de serie:","V90720Z2 ÿÿÿÿ"
"Fecha de manufactura:","Semana: 50, Año: 2020"
"ID de hardware del monitor:","Monitor\LEN61FE"
"Máx. Tamaño vertical:","27 cm"
"Máx. Tamaño horizontal:","48 cm"
"Frecuencia horizontal:","30 - 85 kHz"
"Frecuencia vertical:","50 - 76 Hz"
"Reloj máximo de píxeles:","180 MHz"
"Señal de entrada:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","No soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"DFP 1.x Compatible:","Sí"
"1152 x 864","75 Hz"
"1280 x 1024","60 Hz"
"1280 x 1024","70 Hz"
"1440 x 900","60 Hz"
"1600 x 900","60 Hz"
"1600 x 900","75 Hz"
"1680 x 1050","60 Hz"
"1920 x 1080","75 Hz"
"1920 x 1080","476 x 268 mm, Reloj de píxeles 148.50 MHz"
"Fabricante del controlador:","Lenovo Inc."
"Descripción del controlador:","ThinkVision T22i-20"
"Proveedor de controladores:","Lenovo Inc."
"Versión del controlador:","1.0.0.0"
"Fecha del controlador del dispositivo:","23-Oct-2019"
"DeviceInstanceId","DISPLAY\LEN61FE\5&372D019B&0&UID256"

Unidades de disco


Unidades (S)ATA/ATAPI


ST1000LM049-2GH172

"Controlador de unidad:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","AMD FCH - SATA AHCI Controller (MS)"
"Modelo de unidad:","Seagate ST1000LM049-2GH172"
"Revisión de firmware de la unidad:","LXM4"
"Número de serie de la unidad:","WGS7821V"
"Nombre mundial:","5000C500CD482889"
"Capacidad de la unidad:","953,869 MBytes (1000 GB)"
"Drive Capacity [MB]:","953869"
"Tasa de rotación de medios:","7200 RPM"
"Factor de forma nominal:","2.5"""
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3"
"Versión secundaria de ATA admitida:","ACS-3 Revision 3b"
"Versión de transporte ATA admitida:","SATA 3.1"
"Número de cilindros:","16383"
"Número de cabezas:","15"
"Sectores por pista:","63"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","1953525168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer de caché:","N/A"
"Sectores por interrupción:","Total: 16, Active: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","Soportado (lectura indeterminada después de TRIM)"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","Presente, Activo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","Presente, Activado"
"Encendido en modo de espera:","No soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Deshabilitado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","No soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","No soportado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","Soportado, Activado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","No soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","67/34, Peor: 55 (Data = 5181814,0)"
"[03] Spin Up Time:","99/Siempre normales, Peor: 99"
"[04] Recuento de inicio/parada:","100/20, Peor: 100 (Data = 335,0)"
"[05] Reasignado el conteo del sector:","100/36, Peor: 100"
"[07] Tasa de error de búsqueda:","90/45, Peor: 60 (Data = 967153793,0)"
"[09] Número de ciclos/horas de encendido:","82/Siempre normales, Peor: 82 (16628 horas / 1.90 años)"
"[0A] Giro número de reintentos:","100/97, Peor: 100"
"[0C] Recuento de ciclos de potencia:","100/20, Peor: 100 (Data = 274,0)"
"[B8] Recuento de detección de errores de extremo a extremo:","100/99, Peor: 100"
"[BB] Errores no corregibles informados:","94/Siempre normales, Peor: 94 (Data = 6,0)"
"[BC] Recuento de tiempo de espera del comando:","100/Siempre normales, Peor: 93 (Data = 72836,1)"
"[BD] High Fly escribe:","100/Siempre normales, Peor: 100"
"[BE] Temperatura del flujo de aire / Recuento excedido:","52/40, Peor: 43 (48.0 °C)"
"[BF] Tasa de error de G-Sense:","100/Siempre normales, Peor: 100"
"[C0] Recuento de retracción de apagado:","100/Siempre normales, Peor: 100 (Data = 87,0)"
"[C1] Recuento de ciclos de carga/descarga:","24/Siempre normales, Peor: 24 (Data = 153346,0)"
"[C2] Temperatura:","48/Siempre normales, Peor: 57 (48.0 °C)"
"[C4] Recuento de eventos de reasignación:","100/Siempre normales, Peor: 100"
"[C5] Recuento actual de sectores pendientes:","100/Siempre normales, Peor: 100"
"[C6] Recuento de sectores incorregibles fuera de línea:","100/Siempre normales, Peor: 100"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 199 (Data = 7531,0)"
"[F0] Head Flying Hours:","82/30, Peor: 82 (Data = 16352,48397)"
"[FE] Protección contra caída libre:","100/Siempre normales, Peor: 100"
"Restablecimientos de encendido de por vida:","274"
"Horas de encendido:","16628"
"Número de sectores lógicos escritos:","47030189637"
"Número de sectores lógicos leídos:","44100858010"
"Número de comandos de escritura:","1024647961"
"Número de comandos de lectura:","755043361"
"Horas de encendido del motor del husillo:","6576"
"Número de horas de vuelo principales:","6458"
"Eventos de carga de cabeza:","153346"
"Número de sectores lógicos reasignados:","0"
"Número de intentos de recuperación de lectura:","0"
"Número de fallas de arranque mecánico:","0"
"Número de Sectores Lógicos Candidatos de Reasignación:","0"
"Número de errores incorregibles informados:","377"
"Número de restablecimientos entre la aceptación y finalización del comando:","7301"

Audio


ATI/AMD Display HD Audio Controller

"Adaptador de sonido:","ATI/AMD Display HD Audio Controller"
"ID de hardware del controlador de audio:","PCI\VEN_1002&DEV_15DE&SUBSYS_15DE1002&REV_00"
"Códec de audio de alta definición:","ATi RADEON HDMI"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1007"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Dispositivo de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.264"
"Fecha del controlador del dispositivo:","08-May-2020"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1007\5&14BACE15&0&0001"

AMD Zen - Audio Processor - HD Audio Controller

"Adaptador de sonido:","AMD Zen - Audio Processor - HD Audio Controller"
"ID de hardware del controlador de audio:","PCI\VEN_1022&DEV_15E3&SUBSYS_315117AA&REV_00"
"Códec de audio de alta definición:","RealTek"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0222&SUBSYS_17AA3151&REV_1000"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Dispositivo de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.264"
"Fecha del controlador del dispositivo:","08-May-2020"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0222&SUBSYS_17AA3151&REV_1000\5&1A3C844D&0&0001"

Red


RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC

"Tarjeta de red:","RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC"
"Descripción del proveedor:","Microsoft"
"Dirección MAC:","30-C9-AB-D3-63-01"
"Velocidad máxima de enlace:","54 Mbps"
"Tamaño del búfer de transmisión:","Desconocido"
"Tamaño del búfer de recepción:","Desconocido"
"ID de hardware:","PCI\VEN_10EC&DEV_C822&SUBSYS_C12317AA&REV_00"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Adaptador de red PCI-E NIC de LAN inalámbrica Realtek 8822CE 802.11ac"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","2024.0.8.108"
"Fecha del controlador del dispositivo:","04-Jun-2019"
"DeviceInstanceId","PCI\VEN_10EC&DEV_C822&SUBSYS_C12317AA&REV_00\00E04CFFFEC8220100"
"Location Paths","PCIROOT(0)#PCI(0105)#PCI(0000)"

RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek Ethernet Controller"
"Dirección MAC:","E0-BE-03-19-53-69"
"Velocidad máxima de enlace:","100 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_315117AA&REV_0E"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador del dispositivo:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_315117AA&REV_0E\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(0106)#PCI(0000)"

Puertos


Puertos seriales


USB


Controlador de host eXtensible AMD USB 3.10 - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


Controlador de host eXtensible AMD USB 3.10 - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : Genesys Logic USB V2.0 4-Port Hub

"Fabricante del dispositivo:","N/A"
"Nombre del producto:","USB2.0 Hub"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Concentrador USB genérico"
"ID de hardware:","USB\VID_05E3&PID_0610"
"Fabricante del controlador:","(Concentradores USB estándar)"
"Descripción del controlador:","Concentrador USB genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","24-Aug-2021"
"DeviceInstanceId","USB\VID_05E3&PID_0610\6&28F0955B&0&3"
"Location Paths","PCIROOT(0)#PCI(0801)#PCI(0003)#USBROOT(0)#USB(3)"

[Port1] : Lenovo, PID=608D

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","Lenovo USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_17EF&PID_608D"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.2486"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608D\7&401D2C4&0&1"
"Location Paths","PCIROOT(0)#PCI(0801)#PCI(0003)#USBROOT(0)#USB(3)#USB(1)"

[Port2] : Lenovo, PID=6099

"Fabricante del dispositivo:","Primax"
"Nombre del producto:","Lenovo Traditional USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_17EF&PID_6099"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.2486"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_6099\7&401D2C4&0&2"
"Location Paths","PCIROOT(0)#PCI(0801)#PCI(0003)#USBROOT(0)#USB(3)#USB(2)"

[Port3] : No Device Connected


[Port4] : Realtek Semiconductor Realtek Bluetooth Adapter

"Fabricante del dispositivo:","Realtek Semiconductor"
"Nombre del producto:","Realtek Semiconductor Realtek Bluetooth Adapter"
"Número de serie:","-"
"Versión USB admitida:","1.00"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Generic Bluetooth Adapter"
"ID de hardware:","USB\VID_0BDA&PID_C123"
"Fabricante del controlador:","GenericAdapter"
"Descripción del controlador:","Generic Bluetooth Adapter"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.2728"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0BDA&PID_C123\00E04C000001"
"Location Paths","PCIROOT(0)#PCI(0801)#PCI(0003)#USBROOT(0)#USB(3)#USB(4)"

[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


Controlador de host de PCI a USB mejorado


Root Hub


[Port1] : No Device Connected

